Rank,date,fullName,nationality
19,2016-02-01,Sean Williams,ZIM
20,2016-02-01,Jason Holder,WI
1,2016-02-02,Shakib Al Hasan,BAN
2,2016-02-02,Tillekeratne Dilshan,SL
3,2016-02-02,Glenn Maxwell,AUS
4,2016-02-02,Angelo Mathews,SL
5,2016-02-02,James Faulkner,AUS
6,2016-02-02,Mohammad Nabi,AFG
7,2016-02-02,Ravindra Jadeja,IND
8,2016-02-02,Moeen Ali,ENG
9,2016-02-02,Paul Stirling,IRE
10,2016-02-02,Andre Russell,WI
11,2016-02-02,JP Duminy,SA
12,2016-02-02,Mohammad Nasir Hossain,BAN
13,2016-02-02,Marlon Samuels,WI
14,2016-02-02,Kevin O'Brien,IRE
15,2016-02-02,Mahmudullah,BAN
16,2016-02-02,Mitchell Marsh,AUS
17,2016-02-02,Corey Anderson,NZ
18,2016-02-02,Suresh Raina,IND
19,2016-02-02,Sean Williams,ZIM
20,2016-02-02,Jason Holder,WI
1,2016-02-03,Shakib Al Hasan,BAN
2,2016-02-03,Tillekeratne Dilshan,SL
3,2016-02-03,Angelo Mathews,SL
4,2016-02-03,James Faulkner,AUS
5,2016-02-03,Glenn Maxwell,AUS
6,2016-02-03,Mohammad Nabi,AFG
7,2016-02-03,Moeen Ali,ENG
8,2016-02-03,Ravindra Jadeja,IND
9,2016-02-03,Paul Stirling,IRE
10,2016-02-03,Andre Russell,WI
11,2016-02-03,Mohammad Nasir Hossain,BAN
12,2016-02-03,Marlon Samuels,WI
13,2016-02-03,Corey Anderson,NZ
14,2016-02-03,JP Duminy,SA
15,2016-02-03,Kevin O'Brien,IRE
16,2016-02-03,Mitchell Marsh,AUS
17,2016-02-03,Mahmudullah,BAN
18,2016-02-03,Suresh Raina,IND
19,2016-02-03,Sean Williams,ZIM
20,2016-02-03,Jason Holder,WI
1,2016-02-04,Shakib Al Hasan,BAN
2,2016-02-04,Tillekeratne Dilshan,SL
3,2016-02-04,Angelo Mathews,SL
4,2016-02-04,James Faulkner,AUS
5,2016-02-04,Glenn Maxwell,AUS
6,2016-02-04,Mohammad Nabi,AFG
7,2016-02-04,Moeen Ali,ENG
8,2016-02-04,Ravindra Jadeja,IND
9,2016-02-04,Paul Stirling,IRE
10,2016-02-04,Andre Russell,WI
11,2016-02-04,Mohammad Nasir Hossain,BAN
12,2016-02-04,Marlon Samuels,WI
13,2016-02-04,Corey Anderson,NZ
14,2016-02-04,JP Duminy,SA
15,2016-02-04,Kevin O'Brien,IRE
16,2016-02-04,Mitchell Marsh,AUS
17,2016-02-04,Mahmudullah,BAN
18,2016-02-04,Suresh Raina,IND
19,2016-02-04,Sean Williams,ZIM
20,2016-02-04,Jason Holder,WI
1,2016-02-05,Shakib Al Hasan,BAN
2,2016-02-05,Tillekeratne Dilshan,SL
3,2016-02-05,Angelo Mathews,SL
4,2016-02-05,James Faulkner,AUS
5,2016-02-05,Glenn Maxwell,AUS
6,2016-02-05,Mohammad Nabi,AFG
7,2016-02-05,Moeen Ali,ENG
8,2016-02-05,Ravindra Jadeja,IND
9,2016-02-05,Paul Stirling,IRE
10,2016-02-05,Andre Russell,WI
11,2016-02-05,Mohammad Nasir Hossain,BAN
12,2016-02-05,Marlon Samuels,WI
13,2016-02-05,Corey Anderson,NZ
14,2016-02-05,JP Duminy,SA
15,2016-02-05,Kevin O'Brien,IRE
16,2016-02-05,Mitchell Marsh,AUS
17,2016-02-05,Mahmudullah,BAN
18,2016-02-05,Suresh Raina,IND
19,2016-02-05,Sean Williams,ZIM
20,2016-02-05,Jason Holder,WI
1,2016-02-06,Shakib Al Hasan,BAN
2,2016-02-06,Tillekeratne Dilshan,SL
3,2016-02-06,Angelo Mathews,SL
4,2016-02-06,James Faulkner,AUS
5,2016-02-06,Glenn Maxwell,AUS
6,2016-02-06,Mohammad Nabi,AFG
7,2016-02-06,Moeen Ali,ENG
8,2016-02-06,Ravindra Jadeja,IND
9,2016-02-06,Mitchell Marsh,AUS
10,2016-02-06,Paul Stirling,IRE
11,2016-02-06,Andre Russell,WI
12,2016-02-06,Mohammad Nasir Hossain,BAN
13,2016-02-06,Marlon Samuels,WI
14,2016-02-06,Kevin O'Brien,IRE
15,2016-02-06,Corey Anderson,NZ
16,2016-02-06,JP Duminy,SA
17,2016-02-06,Mahmudullah,BAN
18,2016-02-06,Suresh Raina,IND
19,2016-02-06,Sean Williams,ZIM
20,2016-02-06,Jason Holder,WI
1,2016-02-07,Shakib Al Hasan,BAN
2,2016-02-07,Tillekeratne Dilshan,SL
3,2016-02-07,Angelo Mathews,SL
4,2016-02-07,James Faulkner,AUS
5,2016-02-07,Glenn Maxwell,AUS
6,2016-02-07,Mohammad Nabi,AFG
7,2016-02-07,Moeen Ali,ENG
8,2016-02-07,Ravindra Jadeja,IND
9,2016-02-07,Mitchell Marsh,AUS
10,2016-02-07,Paul Stirling,IRE
11,2016-02-07,Andre Russell,WI
12,2016-02-07,Mohammad Nasir Hossain,BAN
13,2016-02-07,Marlon Samuels,WI
14,2016-02-07,Kevin O'Brien,IRE
15,2016-02-07,Corey Anderson,NZ
16,2016-02-07,JP Duminy,SA
17,2016-02-07,Mahmudullah,BAN
18,2016-02-07,Suresh Raina,IND
19,2016-02-07,Sean Williams,ZIM
20,2016-02-07,Jason Holder,WI
1,2016-02-08,Shakib Al Hasan,BAN
2,2016-02-08,Tillekeratne Dilshan,SL
3,2016-02-08,Angelo Mathews,SL
4,2016-02-08,James Faulkner,AUS
5,2016-02-08,Glenn Maxwell,AUS
6,2016-02-08,Mohammad Nabi,AFG
7,2016-02-08,Moeen Ali,ENG
8,2016-02-08,Ravindra Jadeja,IND
9,2016-02-08,Mitchell Marsh,AUS
10,2016-02-08,Corey Anderson,NZ
11,2016-02-08,Paul Stirling,IRE
12,2016-02-08,Andre Russell,WI
13,2016-02-08,Mohammad Nasir Hossain,BAN
14,2016-02-08,Marlon Samuels,WI
15,2016-02-08,Kevin O'Brien,IRE
16,2016-02-08,JP Duminy,SA
17,2016-02-08,Mahmudullah,BAN
18,2016-02-08,Suresh Raina,IND
19,2016-02-08,Sean Williams,ZIM
20,2016-02-08,Jason Holder,WI
1,2016-02-09,Shakib Al Hasan,BAN
2,2016-02-09,Tillekeratne Dilshan,SL
3,2016-02-09,Angelo Mathews,SL
4,2016-02-09,James Faulkner,AUS
5,2016-02-09,Glenn Maxwell,AUS
6,2016-02-09,Mohammad Nabi,AFG
7,2016-02-09,Moeen Ali,ENG
8,2016-02-09,Ravindra Jadeja,IND
9,2016-02-09,Mitchell Marsh,AUS
10,2016-02-09,Corey Anderson,NZ
11,2016-02-09,Paul Stirling,IRE
12,2016-02-09,Andre Russell,WI
13,2016-02-09,Mohammad Nasir Hossain,BAN
14,2016-02-09,Marlon Samuels,WI
15,2016-02-09,Kevin O'Brien,IRE
16,2016-02-09,JP Duminy,SA
17,2016-02-09,Mahmudullah,BAN
18,2016-02-09,Suresh Raina,IND
19,2016-02-09,Sean Williams,ZIM
20,2016-02-09,Jason Holder,WI
1,2016-02-10,Shakib Al Hasan,BAN
2,2016-02-10,Tillekeratne Dilshan,SL
3,2016-02-10,Angelo Mathews,SL
4,2016-02-10,James Faulkner,AUS
5,2016-02-10,Glenn Maxwell,AUS
6,2016-02-10,Mohammad Nabi,AFG
7,2016-02-10,Moeen Ali,ENG
8,2016-02-10,Ravindra Jadeja,IND
9,2016-02-10,Mitchell Marsh,AUS
10,2016-02-10,Corey Anderson,NZ
11,2016-02-10,Paul Stirling,IRE
12,2016-02-10,Andre Russell,WI
13,2016-02-10,Mohammad Nasir Hossain,BAN
14,2016-02-10,Marlon Samuels,WI
15,2016-02-10,Kevin O'Brien,IRE
16,2016-02-10,JP Duminy,SA
17,2016-02-10,Mahmudullah,BAN
18,2016-02-10,Suresh Raina,IND
19,2016-02-10,Sean Williams,ZIM
20,2016-02-10,Jason Holder,WI
1,2016-02-11,Shakib Al Hasan,BAN
2,2016-02-11,Tillekeratne Dilshan,SL
3,2016-02-11,Angelo Mathews,SL
4,2016-02-11,James Faulkner,AUS
5,2016-02-11,Glenn Maxwell,AUS
6,2016-02-11,Mohammad Nabi,AFG
7,2016-02-11,Moeen Ali,ENG
8,2016-02-11,Ravindra Jadeja,IND
9,2016-02-11,Mitchell Marsh,AUS
10,2016-02-11,Corey Anderson,NZ
11,2016-02-11,Paul Stirling,IRE
12,2016-02-11,Andre Russell,WI
13,2016-02-11,Mohammad Nasir Hossain,BAN
14,2016-02-11,Marlon Samuels,WI
15,2016-02-11,Kevin O'Brien,IRE
16,2016-02-11,JP Duminy,SA
17,2016-02-11,Mahmudullah,BAN
18,2016-02-11,Suresh Raina,IND
19,2016-02-11,Sean Williams,ZIM
20,2016-02-11,Jason Holder,WI
1,2016-02-12,Shakib Al Hasan,BAN
2,2016-02-12,Tillekeratne Dilshan,SL
3,2016-02-12,Angelo Mathews,SL
4,2016-02-12,James Faulkner,AUS
5,2016-02-12,Glenn Maxwell,AUS
6,2016-02-12,Mohammad Nabi,AFG
7,2016-02-12,Moeen Ali,ENG
8,2016-02-12,Ravindra Jadeja,IND
9,2016-02-12,Mitchell Marsh,AUS
10,2016-02-12,Corey Anderson,NZ
11,2016-02-12,Paul Stirling,IRE
12,2016-02-12,Andre Russell,WI
13,2016-02-12,Mohammad Nasir Hossain,BAN
14,2016-02-12,Marlon Samuels,WI
15,2016-02-12,Kevin O'Brien,IRE
16,2016-02-12,JP Duminy,SA
17,2016-02-12,Mahmudullah,BAN
18,2016-02-12,Suresh Raina,IND
19,2016-02-12,Sean Williams,ZIM
20,2016-02-12,Jason Holder,WI
1,2016-02-13,Shakib Al Hasan,BAN
2,2016-02-13,Tillekeratne Dilshan,SL
3,2016-02-13,Angelo Mathews,SL
4,2016-02-13,James Faulkner,AUS
5,2016-02-13,Glenn Maxwell,AUS
6,2016-02-13,Mohammad Nabi,AFG
7,2016-02-13,Moeen Ali,ENG
8,2016-02-13,Ravindra Jadeja,IND
9,2016-02-13,Mitchell Marsh,AUS
10,2016-02-13,Corey Anderson,NZ
11,2016-02-13,Paul Stirling,IRE
12,2016-02-13,Andre Russell,WI
13,2016-02-13,Mohammad Nasir Hossain,BAN
14,2016-02-13,Marlon Samuels,WI
15,2016-02-13,Kevin O'Brien,IRE
16,2016-02-13,JP Duminy,SA
17,2016-02-13,Mahmudullah,BAN
18,2016-02-13,Suresh Raina,IND
19,2016-02-13,Sean Williams,ZIM
20,2016-02-13,Jason Holder,WI
1,2016-02-14,Shakib Al Hasan,BAN
2,2016-02-14,Tillekeratne Dilshan,SL
3,2016-02-14,Angelo Mathews,SL
4,2016-02-14,James Faulkner,AUS
5,2016-02-14,Glenn Maxwell,AUS
6,2016-02-14,Mohammad Nabi,AFG
7,2016-02-14,Moeen Ali,ENG
8,2016-02-14,Ravindra Jadeja,IND
9,2016-02-14,Mitchell Marsh,AUS
10,2016-02-14,Corey Anderson,NZ
11,2016-02-14,Paul Stirling,IRE
12,2016-02-14,Andre Russell,WI
13,2016-02-14,Mohammad Nasir Hossain,BAN
14,2016-02-14,Marlon Samuels,WI
15,2016-02-14,Kevin O'Brien,IRE
16,2016-02-14,Mahmudullah,BAN
17,2016-02-14,JP Duminy,SA
18,2016-02-14,Suresh Raina,IND
19,2016-02-14,Sean Williams,ZIM
20,2016-02-14,Jason Holder,WI
1,2016-02-15,Shakib Al Hasan,BAN
2,2016-02-15,Tillekeratne Dilshan,SL
3,2016-02-15,Angelo Mathews,SL
4,2016-02-15,James Faulkner,AUS
5,2016-02-15,Glenn Maxwell,AUS
6,2016-02-15,Mohammad Nabi,AFG
7,2016-02-15,Moeen Ali,ENG
8,2016-02-15,Ravindra Jadeja,IND
9,2016-02-15,Mitchell Marsh,AUS
10,2016-02-15,Corey Anderson,NZ
11,2016-02-15,Paul Stirling,IRE
12,2016-02-15,Andre Russell,WI
13,2016-02-15,Mohammad Nasir Hossain,BAN
14,2016-02-15,Marlon Samuels,WI
15,2016-02-15,Kevin O'Brien,IRE
16,2016-02-15,Mahmudullah,BAN
17,2016-02-15,JP Duminy,SA
18,2016-02-15,Suresh Raina,IND
19,2016-02-15,Sean Williams,ZIM
20,2016-02-15,Jason Holder,WI
1,2016-02-16,Shakib Al Hasan,BAN
2,2016-02-16,Tillekeratne Dilshan,SL
3,2016-02-16,Angelo Mathews,SL
4,2016-02-16,James Faulkner,AUS
5,2016-02-16,Glenn Maxwell,AUS
6,2016-02-16,Mohammad Nabi,AFG
7,2016-02-16,Moeen Ali,ENG
8,2016-02-16,Ravindra Jadeja,IND
9,2016-02-16,Mitchell Marsh,AUS
10,2016-02-16,Corey Anderson,NZ
11,2016-02-16,Paul Stirling,IRE
12,2016-02-16,Andre Russell,WI
13,2016-02-16,Mohammad Nasir Hossain,BAN
14,2016-02-16,Marlon Samuels,WI
15,2016-02-16,Kevin O'Brien,IRE
16,2016-02-16,Mahmudullah,BAN
17,2016-02-16,JP Duminy,SA
18,2016-02-16,Suresh Raina,IND
19,2016-02-16,Sean Williams,ZIM
20,2016-02-16,Jason Holder,WI
1,2016-02-17,Shakib Al Hasan,BAN
2,2016-02-17,Tillekeratne Dilshan,SL
3,2016-02-17,Angelo Mathews,SL
4,2016-02-17,James Faulkner,AUS
5,2016-02-17,Glenn Maxwell,AUS
6,2016-02-17,Mohammad Nabi,AFG
7,2016-02-17,Moeen Ali,ENG
8,2016-02-17,Ravindra Jadeja,IND
9,2016-02-17,Mitchell Marsh,AUS
10,2016-02-17,Corey Anderson,NZ
11,2016-02-17,Paul Stirling,IRE
12,2016-02-17,Andre Russell,WI
13,2016-02-17,Mohammad Nasir Hossain,BAN
14,2016-02-17,Marlon Samuels,WI
15,2016-02-17,Kevin O'Brien,IRE
16,2016-02-17,Mahmudullah,BAN
17,2016-02-17,JP Duminy,SA
18,2016-02-17,Suresh Raina,IND
19,2016-02-17,Sean Williams,ZIM
20,2016-02-17,Jason Holder,WI
1,2016-02-18,Shakib Al Hasan,BAN
2,2016-02-18,Tillekeratne Dilshan,SL
3,2016-02-18,Angelo Mathews,SL
4,2016-02-18,James Faulkner,AUS
5,2016-02-18,Glenn Maxwell,AUS
6,2016-02-18,Mohammad Nabi,AFG
7,2016-02-18,Moeen Ali,ENG
8,2016-02-18,Ravindra Jadeja,IND
9,2016-02-18,Mitchell Marsh,AUS
10,2016-02-18,Corey Anderson,NZ
11,2016-02-18,Paul Stirling,IRE
12,2016-02-18,Andre Russell,WI
13,2016-02-18,Mohammad Nasir Hossain,BAN
14,2016-02-18,Marlon Samuels,WI
15,2016-02-18,Kevin O'Brien,IRE
16,2016-02-18,Mahmudullah,BAN
17,2016-02-18,JP Duminy,SA
18,2016-02-18,Suresh Raina,IND
19,2016-02-18,Sean Williams,ZIM
20,2016-02-18,Jason Holder,WI
1,2016-02-19,Shakib Al Hasan,BAN
2,2016-02-19,Tillekeratne Dilshan,SL
3,2016-02-19,Angelo Mathews,SL
4,2016-02-19,James Faulkner,AUS
5,2016-02-19,Glenn Maxwell,AUS
6,2016-02-19,Mohammad Nabi,AFG
7,2016-02-19,Moeen Ali,ENG
8,2016-02-19,Ravindra Jadeja,IND
9,2016-02-19,Mitchell Marsh,AUS
10,2016-02-19,Corey Anderson,NZ
11,2016-02-19,Paul Stirling,IRE
12,2016-02-19,Andre Russell,WI
13,2016-02-19,Mohammad Nasir Hossain,BAN
14,2016-02-19,Marlon Samuels,WI
15,2016-02-19,Kevin O'Brien,IRE
16,2016-02-19,Mahmudullah,BAN
17,2016-02-19,JP Duminy,SA
18,2016-02-19,Suresh Raina,IND
19,2016-02-19,Sean Williams,ZIM
20,2016-02-19,Jason Holder,WI
1,2016-02-20,Shakib Al Hasan,BAN
2,2016-02-20,Tillekeratne Dilshan,SL
3,2016-02-20,Angelo Mathews,SL
4,2016-02-20,James Faulkner,AUS
5,2016-02-20,Glenn Maxwell,AUS
6,2016-02-20,Mohammad Nabi,AFG
7,2016-02-20,Moeen Ali,ENG
8,2016-02-20,Ravindra Jadeja,IND
9,2016-02-20,Mitchell Marsh,AUS
10,2016-02-20,Corey Anderson,NZ
11,2016-02-20,Paul Stirling,IRE
12,2016-02-20,Andre Russell,WI
13,2016-02-20,Mohammad Nasir Hossain,BAN
14,2016-02-20,Marlon Samuels,WI
15,2016-02-20,Kevin O'Brien,IRE
16,2016-02-20,Mahmudullah,BAN
17,2016-02-20,JP Duminy,SA
18,2016-02-20,Suresh Raina,IND
19,2016-02-20,Sean Williams,ZIM
20,2016-02-20,Jason Holder,WI
1,2016-02-21,Shakib Al Hasan,BAN
2,2016-02-21,Tillekeratne Dilshan,SL
3,2016-02-21,Angelo Mathews,SL
4,2016-02-21,James Faulkner,AUS
5,2016-02-21,Glenn Maxwell,AUS
6,2016-02-21,Mohammad Nabi,AFG
7,2016-02-21,Moeen Ali,ENG
8,2016-02-21,Ravindra Jadeja,IND
9,2016-02-21,Mitchell Marsh,AUS
10,2016-02-21,Corey Anderson,NZ
11,2016-02-21,Paul Stirling,IRE
12,2016-02-21,Andre Russell,WI
13,2016-02-21,Mohammad Nasir Hossain,BAN
14,2016-02-21,Marlon Samuels,WI
15,2016-02-21,Kevin O'Brien,IRE
16,2016-02-21,Mahmudullah,BAN
17,2016-02-21,JP Duminy,SA
18,2016-02-21,Suresh Raina,IND
19,2016-02-21,Sean Williams,ZIM
20,2016-02-21,Jason Holder,WI
1,2016-02-22,Shakib Al Hasan,BAN
2,2016-02-22,Tillekeratne Dilshan,SL
3,2016-02-22,Angelo Mathews,SL
4,2016-02-22,James Faulkner,AUS
5,2016-02-22,Glenn Maxwell,AUS
6,2016-02-22,Mohammad Nabi,AFG
7,2016-02-22,Moeen Ali,ENG
8,2016-02-22,Ravindra Jadeja,IND
9,2016-02-22,Mitchell Marsh,AUS
10,2016-02-22,Corey Anderson,NZ
11,2016-02-22,Paul Stirling,IRE
12,2016-02-22,Andre Russell,WI
13,2016-02-22,Mohammad Nasir Hossain,BAN
14,2016-02-22,Marlon Samuels,WI
15,2016-02-22,Kevin O'Brien,IRE
16,2016-02-22,Mahmudullah,BAN
17,2016-02-22,JP Duminy,SA
18,2016-02-22,Suresh Raina,IND
19,2016-02-22,Sean Williams,ZIM
20,2016-02-22,Jason Holder,WI
1,2016-02-23,Shakib Al Hasan,BAN
2,2016-02-23,Tillekeratne Dilshan,SL
3,2016-02-23,Angelo Mathews,SL
4,2016-02-23,James Faulkner,AUS
5,2016-02-23,Glenn Maxwell,AUS
6,2016-02-23,Mohammad Nabi,AFG
7,2016-02-23,Moeen Ali,ENG
8,2016-02-23,Ravindra Jadeja,IND
9,2016-02-23,Mitchell Marsh,AUS
10,2016-02-23,Corey Anderson,NZ
11,2016-02-23,Paul Stirling,IRE
12,2016-02-23,Andre Russell,WI
13,2016-02-23,Mohammad Nasir Hossain,BAN
14,2016-02-23,Marlon Samuels,WI
15,2016-02-23,Kevin O'Brien,IRE
16,2016-02-23,Mahmudullah,BAN
17,2016-02-23,JP Duminy,SA
18,2016-02-23,Suresh Raina,IND
19,2016-02-23,Sean Williams,ZIM
20,2016-02-23,Jason Holder,WI
1,2016-02-24,Shakib Al Hasan,BAN
2,2016-02-24,Tillekeratne Dilshan,SL
3,2016-02-24,Angelo Mathews,SL
4,2016-02-24,James Faulkner,AUS
5,2016-02-24,Glenn Maxwell,AUS
6,2016-02-24,Mohammad Nabi,AFG
7,2016-02-24,Moeen Ali,ENG
8,2016-02-24,Ravindra Jadeja,IND
9,2016-02-24,Mitchell Marsh,AUS
10,2016-02-24,Corey Anderson,NZ
11,2016-02-24,Paul Stirling,IRE
12,2016-02-24,Andre Russell,WI
13,2016-02-24,Mohammad Nasir Hossain,BAN
14,2016-02-24,Marlon Samuels,WI
15,2016-02-24,Kevin O'Brien,IRE
16,2016-02-24,Mahmudullah,BAN
17,2016-02-24,JP Duminy,SA
18,2016-02-24,Suresh Raina,IND
19,2016-02-24,Sean Williams,ZIM
20,2016-02-24,Jason Holder,WI
1,2016-02-25,Shakib Al Hasan,BAN
2,2016-02-25,Tillekeratne Dilshan,SL
3,2016-02-25,Angelo Mathews,SL
4,2016-02-25,James Faulkner,AUS
5,2016-02-25,Glenn Maxwell,AUS
6,2016-02-25,Mohammad Nabi,AFG
7,2016-02-25,Moeen Ali,ENG
8,2016-02-25,Ravindra Jadeja,IND
9,2016-02-25,Mitchell Marsh,AUS
10,2016-02-25,Corey Anderson,NZ
11,2016-02-25,Paul Stirling,IRE
12,2016-02-25,Andre Russell,WI
13,2016-02-25,Mohammad Nasir Hossain,BAN
14,2016-02-25,Marlon Samuels,WI
15,2016-02-25,Kevin O'Brien,IRE
16,2016-02-25,Mahmudullah,BAN
17,2016-02-25,JP Duminy,SA
18,2016-02-25,Suresh Raina,IND
19,2016-02-25,Sean Williams,ZIM
20,2016-02-25,Jason Holder,WI
1,2016-02-26,Shakib Al Hasan,BAN
2,2016-02-26,Tillekeratne Dilshan,SL
3,2016-02-26,Angelo Mathews,SL
4,2016-02-26,James Faulkner,AUS
5,2016-02-26,Glenn Maxwell,AUS
6,2016-02-26,Mohammad Nabi,AFG
7,2016-02-26,Moeen Ali,ENG
8,2016-02-26,Ravindra Jadeja,IND
9,2016-02-26,Mitchell Marsh,AUS
10,2016-02-26,Corey Anderson,NZ
11,2016-02-26,Paul Stirling,IRE
12,2016-02-26,Andre Russell,WI
13,2016-02-26,Mohammad Nasir Hossain,BAN
14,2016-02-26,Marlon Samuels,WI
15,2016-02-26,Kevin O'Brien,IRE
16,2016-02-26,Mahmudullah,BAN
17,2016-02-26,JP Duminy,SA
18,2016-02-26,Suresh Raina,IND
19,2016-02-26,Sean Williams,ZIM
20,2016-02-26,Jason Holder,WI
1,2016-02-27,Shakib Al Hasan,BAN
2,2016-02-27,Tillekeratne Dilshan,SL
3,2016-02-27,Angelo Mathews,SL
4,2016-02-27,James Faulkner,AUS
5,2016-02-27,Glenn Maxwell,AUS
6,2016-02-27,Mohammad Nabi,AFG
7,2016-02-27,Moeen Ali,ENG
8,2016-02-27,Ravindra Jadeja,IND
9,2016-02-27,Mitchell Marsh,AUS
10,2016-02-27,Corey Anderson,NZ
11,2016-02-27,Paul Stirling,IRE
12,2016-02-27,Andre Russell,WI
13,2016-02-27,Mohammad Nasir Hossain,BAN
14,2016-02-27,Marlon Samuels,WI
15,2016-02-27,Kevin O'Brien,IRE
16,2016-02-27,Mahmudullah,BAN
17,2016-02-27,JP Duminy,SA
18,2016-02-27,Suresh Raina,IND
19,2016-02-27,Sean Williams,ZIM
20,2016-02-27,Jason Holder,WI
1,2016-02-28,Shakib Al Hasan,BAN
2,2016-02-28,Tillekeratne Dilshan,SL
3,2016-02-28,Angelo Mathews,SL
4,2016-02-28,James Faulkner,AUS
5,2016-02-28,Glenn Maxwell,AUS
6,2016-02-28,Mohammad Nabi,AFG
7,2016-02-28,Moeen Ali,ENG
8,2016-02-28,Ravindra Jadeja,IND
9,2016-02-28,Mitchell Marsh,AUS
10,2016-02-28,Corey Anderson,NZ
11,2016-02-28,Paul Stirling,IRE
12,2016-02-28,Andre Russell,WI
13,2016-02-28,Mohammad Nasir Hossain,BAN
14,2016-02-28,Marlon Samuels,WI
15,2016-02-28,Kevin O'Brien,IRE
16,2016-02-28,Mahmudullah,BAN
17,2016-02-28,JP Duminy,SA
18,2016-02-28,Suresh Raina,IND
19,2016-02-28,Sean Williams,ZIM
20,2016-02-28,Jason Holder,WI
1,2016-02-29,Shakib Al Hasan,BAN
2,2016-02-29,Tillekeratne Dilshan,SL
3,2016-02-29,Angelo Mathews,SL
4,2016-02-29,James Faulkner,AUS
5,2016-02-29,Glenn Maxwell,AUS
6,2016-02-29,Mohammad Nabi,AFG
7,2016-02-29,Moeen Ali,ENG
8,2016-02-29,Ravindra Jadeja,IND
9,2016-02-29,Mitchell Marsh,AUS
10,2016-02-29,Corey Anderson,NZ
11,2016-02-29,Paul Stirling,IRE
12,2016-02-29,Andre Russell,WI
13,2016-02-29,Mohammad Nasir Hossain,BAN
14,2016-02-29,Marlon Samuels,WI
15,2016-02-29,Kevin O'Brien,IRE
16,2016-02-29,Mahmudullah,BAN
17,2016-02-29,JP Duminy,SA
18,2016-02-29,Suresh Raina,IND
19,2016-02-29,Sean Williams,ZIM
20,2016-02-29,Jason Holder,WI
1,2016-03-01,Shakib Al Hasan,BAN
2,2016-03-01,Tillekeratne Dilshan,SL
3,2016-03-01,Angelo Mathews,SL
4,2016-03-01,James Faulkner,AUS
5,2016-03-01,Glenn Maxwell,AUS
6,2016-03-01,Mohammad Nabi,AFG
7,2016-03-01,Moeen Ali,ENG
8,2016-03-01,Ravindra Jadeja,IND
9,2016-03-01,Mitchell Marsh,AUS
10,2016-03-01,Corey Anderson,NZ
11,2016-03-01,Paul Stirling,IRE
12,2016-03-01,Andre Russell,WI
13,2016-03-01,Mohammad Nasir Hossain,BAN
14,2016-03-01,Marlon Samuels,WI
15,2016-03-01,Kevin O'Brien,IRE
16,2016-03-01,Mahmudullah,BAN
17,2016-03-01,JP Duminy,SA
18,2016-03-01,Suresh Raina,IND
19,2016-03-01,Sean Williams,ZIM
20,2016-03-01,Jason Holder,WI
1,2016-03-02,Shakib Al Hasan,BAN
2,2016-03-02,Tillekeratne Dilshan,SL
3,2016-03-02,Angelo Mathews,SL
4,2016-03-02,James Faulkner,AUS
5,2016-03-02,Glenn Maxwell,AUS
6,2016-03-02,Mohammad Nabi,AFG
7,2016-03-02,Moeen Ali,ENG
8,2016-03-02,Ravindra Jadeja,IND
9,2016-03-02,Mitchell Marsh,AUS
10,2016-03-02,Corey Anderson,NZ
11,2016-03-02,Paul Stirling,IRE
12,2016-03-02,Andre Russell,WI
13,2016-03-02,Mohammad Nasir Hossain,BAN
14,2016-03-02,Marlon Samuels,WI
15,2016-03-02,Kevin O'Brien,IRE
16,2016-03-02,Mahmudullah,BAN
17,2016-03-02,JP Duminy,SA
18,2016-03-02,Suresh Raina,IND
19,2016-03-02,Sean Williams,ZIM
20,2016-03-02,Jason Holder,WI
1,2016-03-03,Shakib Al Hasan,BAN
2,2016-03-03,Tillekeratne Dilshan,SL
3,2016-03-03,Angelo Mathews,SL
4,2016-03-03,James Faulkner,AUS
5,2016-03-03,Glenn Maxwell,AUS
6,2016-03-03,Mohammad Nabi,AFG
7,2016-03-03,Moeen Ali,ENG
8,2016-03-03,Ravindra Jadeja,IND
9,2016-03-03,Mitchell Marsh,AUS
10,2016-03-03,Corey Anderson,NZ
11,2016-03-03,Paul Stirling,IRE
12,2016-03-03,Andre Russell,WI
13,2016-03-03,Mohammad Nasir Hossain,BAN
14,2016-03-03,Marlon Samuels,WI
15,2016-03-03,Kevin O'Brien,IRE
16,2016-03-03,Mahmudullah,BAN
17,2016-03-03,JP Duminy,SA
18,2016-03-03,Suresh Raina,IND
19,2016-03-03,Sean Williams,ZIM
20,2016-03-03,Jason Holder,WI
1,2016-03-04,Shakib Al Hasan,BAN
2,2016-03-04,Tillekeratne Dilshan,SL
3,2016-03-04,Angelo Mathews,SL
4,2016-03-04,James Faulkner,AUS
5,2016-03-04,Glenn Maxwell,AUS
6,2016-03-04,Mohammad Nabi,AFG
7,2016-03-04,Moeen Ali,ENG
8,2016-03-04,Ravindra Jadeja,IND
9,2016-03-04,Mitchell Marsh,AUS
10,2016-03-04,Corey Anderson,NZ
11,2016-03-04,Paul Stirling,IRE
12,2016-03-04,Andre Russell,WI
13,2016-03-04,Mohammad Nasir Hossain,BAN
14,2016-03-04,Marlon Samuels,WI
15,2016-03-04,Kevin O'Brien,IRE
16,2016-03-04,Mahmudullah,BAN
17,2016-03-04,JP Duminy,SA
18,2016-03-04,Suresh Raina,IND
19,2016-03-04,Sean Williams,ZIM
20,2016-03-04,Jason Holder,WI
1,2016-03-05,Shakib Al Hasan,BAN
